split,mae,mse,rmse,max_ae,x_mae,y_mae,z_mae,x_rmse,y_rmse,z_rmse,x_r2,y_r2,z_r2
validation,0.21789099276065826,0.1309870183467865,0.3619212875015595,3.111600875854492,0.281849205493927,0.3001613914966583,0.07166241109371185,0.3811247944831848,0.40479347109794617,0.2895638346672058,0.9912456274032593,0.9892368316650391,0.9836248159408569
test,0.0843888446688652,0.038082804530858994,0.1951481604598388,2.090301513671875,0.08784016966819763,0.0967574194073677,0.06856893002986908,0.14606107771396637,0.13408814370632172,0.2737424969673157,0.9987576603889465,0.9988603591918945,0.9889055490493774
