experiment,hidden_dims,activation,lr,weight_decay,batch_size,batch_time,solver,best_iter,val_mae,val_rmse,val_max_ae,test_mae,test_rmse,test_max_ae,test_x_r2,test_y_r2,test_z_r2
exp_deep_silu,"(128, 128, 128, 64)",silu,0.0005,1e-05,64,30,dopri5,1200,0.18069985508918762,0.4065828243808072,6.894021987915039,0.24098782241344452,0.4796363007996468,6.361605644226074,0.9890926480293274,0.9915816783905029,0.9452140927314758
exp_regularized_tanh,"(64, 64, 64)",tanh,0.0005,0.0001,96,25,dopri5,1900,0.9332584738731384,1.8831207529571479,15.934244155883789,1.0532890558242798,2.1018878443856077,16.238691329956055,0.7345805764198303,0.7150188684463501,0.3781747817993164
exp_wide_tanh,"(128, 128, 64)",tanh,0.001,1e-05,64,25,dopri5,1600,0.9764329195022583,1.9127405700969677,16.937273025512695,1.1983964443206787,2.336804997552884,19.661762237548828,0.6963685750961304,0.6346291899681091,0.1999567747116089
exp_baseline_tanh,"(64, 64, 32)",tanh,0.001,0.0,64,20,dopri5,2000,1.07466459274292,1.9201564393286712,16.31973648071289,1.0629645586013794,2.0329703455168087,15.246725082397461,0.7474602460861206,0.7302213907241821,0.4364902973175049
